id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;Disponível;Data;Status
19768;La Grest;Camisa Tie-Dye La Grest;49;49;Camisa de manga longa em tom de laranja com efeito tie-dye. Possui dois bolsos na parte da frente e fechamento por botões. Apresenta uma mancha escura na parte inferior da frente da peça, que pode ser observada nas fotos.;M;Vintage;;VENDIDO;2018-11-17 03:40:11.290764;VERIFICADO
19769;Virage;Macacão Vintage Ski;199;199;Macacão vintage na cor verde petróleo, com vários recortes e estampas. Possui 5 bolsos na parte da frente. É uma peça ideal para frio intenso, totalmente forrado e com várias camadas de fibra internas. Fechamento por zíper e botões na parte da frente. Possui capuz forrado com plush, que é abotoado à peça e pode ser removido. Tem elástico na cintura, e acompanha cinto um estampado que também pode ser removido. Está em ótimo estado de conservação, mas apresenta dois pequenos rasgos em uma perna, que já foram consertados e não comprometem a peça. Garimpado em Montevidéu, Uruguai.;P;Vintage;;VENDIDO;2018-11-17 02:56:58.723432;VERIFICADO
19770;MT Modas;Camisa Vintage Estampada MT;39;39;Camisa manga curta estampada em tons de verde e bege com um bolso na parte da frente. A peça apresenta pequenos furos de uso que não comprometem a peça.;G;Vintage;;VENDIDO;2018-11-17 03:35:13.399143;VERIFICADO
19771;Sem Marca;Saia Vermelha Listrada;49;49;Saia vermelha com listras pretas. Cintura alta, com dois bolsos na parte da frente. A parte das costas tem apenas a lapela, não possui bolsos.Fechamento por zíper e botões no cós. Apresenta uma pequena fenda na parte da frente.;M;Vintage;;VENDIDO;2018-11-17 03:34:09.216748;VERIFICADO
19772;Jar Mood;Camisa Vintage Jar Mood;59;59;Camisa vintage de viscose com estampa floral, de manga curta e decote amplo. O tecido apresenta um leve brilho. Possui dois bolsos na parte da frente.;44;Vintage;;VENDIDO;2018-11-17 01:08:20.614068;VERIFICADO
14571;Jinglers Outfitters;Jaqueta Jinglers;55;55;Jaqueta de cotelê com bolsos na frente.;G;Vintage;;VENDIDO;2018-11-17 03:22:40.713087;VERIFICADO
15253;Caricatoon Jeans;Jaqueta Jeans com Pelos Caricatoon;199;199;Jaqueta jeans forrada. Possui forro com pelo sintético em toda a parte interna, na gola e nos punhos, com exceção das mangas, que são forradas com tecido 100% algodão. Garimpada em Buenos Aires, Argentina.;P;Vintage;;VENDIDO;2018-11-17 02:53:57.179385;VERIFICADO
14225;Sem Marca;Short Com Renda;37;37;Short jeans com barra cortada e dobrada. Possui detalhe de renda atrás e em um bolso da frente.;36;Vintage;;VENDIDO;2018-11-17 02:19:30.664330;VERIFICADO
14227;Clock House;Colete Clock House;28;28;Colete preto com botões na frente e duas lapelas de bolsos falsos. Usado apenas aberto, não possui casas de botões para fechar.;P;Vintage;;VENDIDO;2018-11-17 02:46:40.796099;VERIFICADO
14228;Seiki;Calça De Linho Alta;55;55;Calça de linho com cintura alta.;38;Vintage;;VENDIDO;2018-11-17 03:34:40.542158;VERIFICADO
14229;Drachter;Camisa Jeans Drachter;40;40;Camisa jeans com botões, dois bolsos na frente e um pequeno bolso na manga.;G;Vintage;;VENDIDO;2018-11-17 03:29:50.117215;VERIFICADO
14231;Sem Marca;Camisa Floral Pérolas;30;30;Camisa estampada com botões de pérola. As pérolas apresentam pouco desgaste.;G;Vintage;;VENDIDO;2018-11-17 02:56:06.720118;VERIFICADO
14233;índia Fashion;Kaftan Estampado;60;60;Kaftan estampado com pequenos pontos de glitter.;U;Vintage;;VENDIDO;2018-11-17 02:43:07.426237;VERIFICADO
14234;Gabisa;Short Gabisa;40;40;Short com tecido que simula jeans e detalhes em camurça na frente. Não possui bolsos.;36;Vintage;;VENDIDO;2018-11-17 03:28:07.887148;VERIFICADO
11687;Marie Claire;Short Alto Uva;45;45;Short de cintura alta com barra cortada e dobrada. Possui detalhes nos bolsos e cós em cotelê.;38;Vintage;;VENDIDO;2018-11-17 02:15:08.355494;VERIFICADO
14301;Tommy Hilfiger;Camisa Tommy;35;45;Camisa xadre de manga curta com um bolso na frente.;GG;Vintage;;VENDIDO;2018-11-17 03:36:31.032425;VERIFICADO
11696;Sem Marca;Suéter Losangos;60;60;Suéter vintage com padronagem.;U;Vintage;;VENDIDO;2018-11-17 02:25:13.025565;VERIFICADO
19889;Darluan;Colete Vintage Marrom;39;39;Colete vintage marrom, de lã sintética. Possui um brasão bordado na parte da frente, e fechamento por botões dourados.;M;Vintage;;VENDIDO;2018-11-17 02:46:02.321955;VERIFICADO
19890;Cia. do Homem;Suéter Estampado Cia do Homem;89;89;Suéter de lã sintética com padronagem geométrica. Possui gola polo com botões.;M;Vintage;;VENDIDO;2018-11-17 02:56:32.531471;VERIFICADO
19891;Samville;Colete Marrom Samville;49;49;Colete de lã sintética marrom, com padronagens geométricas. Fechamento por botões na parte da frente.;M;Vintage;;VENDIDO;2018-11-17 03:23:03.837846;VERIFICADO
19892;LiBardi;Suéter Vinho DiBardi;59;59;Suéter de lã sintética e natural, na cor vinho, com padronagem em cinza.;G;Vintage;;VENDIDO;2018-11-17 03:38:59.670485;VERIFICADO
19893;Seidel;Suéter Vintage Lobinhos;69;69;Suéter de lã sintética cinza e azul, com bordado na parte da frente.;M;Vintage;;VENDIDO;2018-11-17 03:10:03.966372;VERIFICADO
